Rank,Power_kW,Effective_Head_m,Flow_m3s,WaterSource_Lat,WaterSource_Lon,WaterSource_Elevation_m,Intake_Lat,Intake_Lon,Intake_Elevation_m,Powerhouse_Lat,Powerhouse_Lon,Powerhouse_Elevation_m,WS_Intake_Distance_km,Intake_PH_Distance_km,Total_Distance_km
1,5776.445432428592,691.0,1.0662684648890604,36.71730311578947,138.12525784210524,1164.0,36.69756456842105,138.12525784210524,1069.0,36.65808747368421,138.18980489473682,378.0,2.1904293824095262,7.244301266909882,9.434730649319409
2,5392.84183825372,713.0,0.9647440103353392,36.71730311578947,138.12525784210524,1164.0,36.69756456842105,138.12525784210524,1069.0,36.638348926315786,138.18980489473682,356.0,2.1904293824095262,8.745165632466998,10.935595014876524
3,5324.2727641978,709.0,0.9578510916852204,36.71730311578947,138.12525784210524,1164.0,36.69756456842105,138.12525784210524,1069.0,36.65808747368421,138.21132057894735,360.0,2.1904293824095262,8.852722572195608,11.043151954605134
4,5260.334968586749,706.0,0.9503698200169733,36.71730311578947,138.12525784210524,1164.0,36.69756456842105,138.12525784210524,1069.0,36.618610378947366,138.14677352631577,363.0,2.1904293824095262,8.970339614648717,11.160768997058243
5,5111.3169808084485,686.0,0.9503698200170404,36.71730311578947,138.12525784210524,1164.0,36.69756456842105,138.12525784210524,1069.0,36.618610378947366,138.10374215789474,383.0,2.1904293824095262,8.970339614647658,11.160768997057184
6,5104.588847325743,713.0,0.9131774421325782,36.71730311578947,138.12525784210524,1164.0,36.69756456842105,138.12525784210524,1069.0,36.618610378947366,138.1682892105263,356.0,2.1904293824095262,9.569154325480378,11.759583707889904
7,4991.614505187572,691.0,0.9213972845453888,36.737041663157896,138.12525784210524,1765.0,36.69756456842105,138.12525784210524,1069.0,36.65808747368421,138.18980489473682,378.0,4.380866045205052,7.244301266909882,11.625167312114934
8,4971.089189132141,708.0,0.8955755630138325,36.71730311578947,138.12525784210524,1164.0,36.69756456842105,138.12525784210524,1069.0,36.67782602105263,138.23283626315788,361.0,2.1904293824095262,9.861108529483618,12.051537911893144
9,4859.240554497461,691.0,0.8969625052603185,36.737041663157896,138.10374215789474,1297.0,36.69756456842105,138.12525784210524,1069.0,36.65808747368421,138.18980489473682,378.0,4.784024710779985,7.244301266909882,12.028325977689867
10,4836.391439586987,722.0,0.8544136609593156,36.71730311578947,138.12525784210524,1164.0,36.69756456842105,138.12525784210524,1069.0,36.65808747368421,138.23283626315788,347.0,2.1904293824095262,10.566875655292435,12.757305037701961
