ランク,水源_緯度,水源_経度,水源_標高(m),取水口_緯度,取水口_経度,取水口_標高(m),発電所_緯度,発電所_経度,発電所_標高(m),有効落差(m),推定発電量(kW)
#1,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.704724,137.387427,88.0,2124.0,120.8
#2,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.664012,137.355989,55.0,2157.0,104.4
#3,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.745436,137.387427,55.0,2157.0,102.1
#4,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.786149,137.418864,34.0,2178.0,101.6
#5,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.704724,137.355989,27.0,2185.0,95.2
#6,36.460450,137.544616,2804.0,36.501162,137.576053,2003.0,36.664012,137.355989,55.0,2749.0,87.4
#7,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.867573,137.513178,96.0,2116.0,83.4
#8,36.460450,137.607491,2632.0,36.501162,137.576053,2003.0,36.664012,137.355989,55.0,2577.0,81.9
#9,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.786149,137.387427,27.0,2185.0,81.5
#10,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.745436,137.355989,9.0,2203.0,81.2
#11,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.664012,137.324551,69.0,2143.0,78.5
#12,36.664012,137.733242,2273.0,36.704724,137.576053,1873.0,36.786149,137.418864,34.0,2239.0,75.6
#13,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.826861,137.418864,34.0,2178.0,75.1
#14,36.460450,137.544616,2804.0,36.501162,137.576053,2003.0,36.704724,137.387427,88.0,2716.0,74.5
#15,36.582587,137.638929,2212.0,36.704724,137.576053,1873.0,36.786149,137.418864,34.0,2178.0,74.1
#16,36.460450,137.513178,2141.0,36.501162,137.576053,2003.0,36.664012,137.355989,55.0,2086.0,74.1
#17,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.704724,137.324551,5.0,2207.0,73.5
#18,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.867573,137.481740,77.0,2135.0,73.2
#19,36.664012,137.733242,2273.0,36.704724,137.576053,1873.0,36.704724,137.387427,88.0,2185.0,72.6
#20,36.582587,137.638929,2212.0,36.704724,137.576053,1873.0,36.704724,137.387427,88.0,2124.0,71.2
#21,36.460450,137.544616,2804.0,36.501162,137.576053,2003.0,36.664012,137.324551,69.0,2735.0,70.2
#22,36.460450,137.607491,2632.0,36.501162,137.576053,2003.0,36.704724,137.387427,88.0,2544.0,69.8
#23,36.664012,137.733242,2273.0,36.704724,137.576053,1873.0,36.745436,137.387427,55.0,2218.0,69.5
#24,36.582587,137.638929,2212.0,36.704724,137.576053,1873.0,36.745436,137.387427,55.0,2157.0,68.1
#25,36.460450,137.607491,2632.0,36.501162,137.576053,2003.0,36.664012,137.324551,69.0,2563.0,65.8
#26,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.786149,137.355989,0.0,2212.0,65.4
#27,36.664012,137.733242,2273.0,36.623299,137.670367,1665.0,36.704724,137.387427,88.0,2185.0,65.0
#28,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.867573,137.450302,17.0,2195.0,64.4
#29,36.460450,137.544616,2804.0,36.501162,137.576053,2003.0,36.704724,137.355989,27.0,2777.0,63.9
#30,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.745436,137.324551,-1.0,2213.0,63.2
#31,36.460450,137.638929,2457.0,36.501162,137.576053,2003.0,36.664012,137.355989,55.0,2402.0,63.2
#32,36.460450,137.513178,2141.0,36.501162,137.576053,2003.0,36.704724,137.387427,88.0,2053.0,63.0
#33,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.826861,137.387427,0.0,2212.0,62.2
#34,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.908286,137.544616,86.0,2126.0,61.9
#35,36.419737,137.513178,2621.0,36.460450,137.387427,1603.0,36.664012,137.355989,55.0,2566.0,61.3
#36,36.460450,137.607491,2632.0,36.501162,137.576053,2003.0,36.704724,137.355989,27.0,2605.0,59.9
#37,36.664012,137.733242,2273.0,36.704724,137.576053,1873.0,36.786149,137.387427,27.0,2246.0,59.5
#38,36.460450,137.513178,2141.0,36.501162,137.576053,2003.0,36.664012,137.324551,69.0,2072.0,59.4
#39,36.745436,137.764680,2330.0,36.704724,137.576053,1873.0,36.786149,137.418864,34.0,2296.0,59.2
#40,36.419737,137.607491,2872.0,36.501162,137.576053,2003.0,36.664012,137.355989,55.0,2817.0,59.2
#41,36.664012,137.764680,2317.0,36.704724,137.576053,1873.0,36.786149,137.418864,34.0,2283.0,58.9
#42,36.664012,137.733242,2273.0,36.704724,137.576053,1873.0,36.867573,137.513178,96.0,2177.0,58.8
#43,36.582587,137.638929,2212.0,36.704724,137.576053,1873.0,36.786149,137.387427,27.0,2185.0,58.4
#44,36.419737,137.513178,2621.0,36.460450,137.387427,1603.0,36.664012,137.324551,69.0,2552.0,57.9
#45,36.582587,137.638929,2212.0,36.704724,137.576053,1873.0,36.867573,137.513178,96.0,2116.0,57.6
#46,36.664012,137.733242,2273.0,36.704724,137.576053,1873.0,36.826861,137.418864,34.0,2239.0,57.0
#47,36.745436,137.764680,2330.0,36.704724,137.576053,1873.0,36.704724,137.387427,88.0,2242.0,56.9
#48,36.664012,137.764680,2317.0,36.704724,137.576053,1873.0,36.704724,137.387427,88.0,2229.0,56.5
#49,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.908286,137.513178,59.0,2153.0,56.5
#50,36.664012,137.733242,2273.0,36.704724,137.576053,1873.0,36.704724,137.355989,27.0,2246.0,56.3
