Rank,Power_kW,Effective_Head_m,WS_Lat,WS_Lon,WS_Elevation_m,WS_Flow_m3_s,Intake_Lat,Intake_Lon,Intake_Elevation_m,PH_Lat,PH_Lon,PH_Elevation_m,WS_Intake_Distance_km,Intake_PH_Distance_km,WS_PH_Distance_km
1,1146.0350614573208,1565.0,35.67334374074074,137.796118,2152.0,0.4913796703366416,35.67334374074074,137.84851433333333,1434.0,35.67334374074074,137.953307,587.0,0,0,0
2,973.6346464982663,1259.0,36.75900714814815,137.796118,1782.0,0.4786479824979063,36.82686111111111,137.84851433333333,1452.0,36.82686111111111,137.90091066666668,523.0,0,0,0
3,897.381976314029,1665.0,35.67334374074074,137.796118,2152.0,0.4913796703366416,35.67334374074074,137.84851433333333,1434.0,35.60548977777778,137.953307,487.0,0,0,0
4,833.3119605407753,1545.0,35.67334374074074,137.796118,2152.0,0.4913796703366416,35.67334374074074,137.84851433333333,1434.0,35.741197703703705,137.953307,607.0,0,0,0
5,758.1264365065961,1696.0,35.46978185185185,138.05809966666666,2191.0,0.45557710578951927,35.40192788888889,138.00570333333334,1759.0,35.33407392592593,137.953307,495.0,0,0,0
6,717.1086072164234,1366.0,36.75900714814815,138.582063,1869.0,0.4688702343381952,36.82686111111111,138.47727033333334,1324.0,36.82686111111111,138.424874,503.0,0,0,0
7,716.7636435388591,1366.0,36.75900714814815,138.582063,1869.0,0.4688702343381952,36.75900714814815,138.52966666666666,1578.0,36.82686111111111,138.424874,503.0,0,0,0
8,713.2774192023646,1862.0,35.741197703703705,137.796118,2449.0,0.4173235352954945,35.67334374074074,137.84851433333333,1434.0,35.67334374074074,137.953307,587.0,0,0,0
9,677.7781426578747,1746.0,35.46978185185185,138.05809966666666,2191.0,0.45557710578951927,35.46978185185185,137.953307,1277.0,35.46978185185185,137.84851433333333,445.0,0,0,0
10,620.5091657161094,1277.0,35.60548977777778,138.110496,1864.0,0.4430078109107489,35.67334374074074,138.00570333333334,1202.0,35.67334374074074,137.953307,587.0,0,0,0
11,611.5807367796751,1289.0,36.75900714814815,137.796118,1782.0,0.4786479824979063,36.82686111111111,137.84851433333333,1452.0,36.89471507407407,137.90091066666668,493.0,0,0,0
12,608.8050617588245,1470.0,36.75900714814815,138.582063,1869.0,0.4688702343381952,36.75900714814815,138.52966666666666,1578.0,36.75900714814815,138.37247766666667,399.0,0,0,0
13,608.8050119941807,1470.0,36.75900714814815,138.582063,1869.0,0.4688702343381952,36.75900714814815,138.47727033333334,1525.0,36.75900714814815,138.37247766666667,399.0,0,0,0
14,599.8110117656682,1366.0,36.75900714814815,138.582063,1869.0,0.4688702343381952,36.82686111111111,138.52966666666666,1397.0,36.82686111111111,138.424874,503.0,0,0,0
15,599.2340747078196,1366.0,36.75900714814815,138.582063,1869.0,0.4688702343381952,36.75900714814815,138.47727033333334,1525.0,36.82686111111111,138.424874,503.0,0,0,0
16,553.1683758936575,1962.0,35.741197703703705,137.796118,2449.0,0.4173235352954945,35.67334374074074,137.84851433333333,1434.0,35.60548977777778,137.953307,487.0,0,0,0
17,545.0362663655121,1548.0,35.67334374074074,138.16289233333333,2135.0,0.4109016790226929,35.67334374074074,138.00570333333334,1202.0,35.67334374074074,137.953307,587.0,0,0,0
18,545.0362663655119,1548.0,35.67334374074074,138.16289233333333,2135.0,0.4109016790226929,35.67334374074074,138.110496,1445.0,35.67334374074074,137.953307,587.0,0,0,0
19,538.3301407061728,1622.0,35.67334374074074,137.796118,2152.0,0.4913796703366416,35.60548977777778,137.7437216666667,1946.0,35.67334374074074,137.63892900000002,530.0,0,0,0
20,519.7134945223156,1842.0,35.741197703703705,137.796118,2449.0,0.4173235352954945,35.67334374074074,137.84851433333333,1434.0,35.741197703703705,137.953307,607.0,0,0,0
21,506.12441552080185,1523.0,36.75900714814815,138.582063,1869.0,0.4688702343381952,36.75900714814815,138.52966666666666,1578.0,36.82686111111111,138.37247766666667,346.0,0,0,0
22,476.05790317622024,1606.0,35.46978185185185,138.110496,2101.0,0.4402478351790923,35.40192788888889,138.00570333333334,1759.0,35.33407392592593,137.953307,495.0,0,0,0
23,466.2929890428739,1648.0,35.67334374074074,138.16289233333333,2135.0,0.4109016790226929,35.67334374074074,138.110496,1445.0,35.60548977777778,137.953307,487.0,0,0,0
24,463.43748065568104,1523.0,36.75900714814815,138.582063,1869.0,0.4688702343381952,36.82686111111111,138.47727033333334,1324.0,36.82686111111111,138.37247766666667,346.0,0,0,0
25,462.99171648773205,1523.0,36.75900714814815,138.582063,1869.0,0.4688702343381952,36.75900714814815,138.47727033333334,1525.0,36.82686111111111,138.37247766666667,346.0,0,0,0
26,448.13465353602874,1197.0,36.216175444444445,138.16289233333333,1787.0,0.4303729344627946,36.216175444444445,138.110496,1702.0,36.216175444444445,137.953307,590.0,0,0,0
27,446.0469716800097,1491.0,36.08046751851852,137.7437216666667,2117.0,0.4395886803159939,36.14832148148148,137.796118,1467.0,36.216175444444445,137.90091066666668,626.0,0,0,0
28,445.5052752624128,1791.0,36.41973733333333,137.7437216666667,2363.0,0.37399504669088174,36.487591296296294,137.796118,1478.0,36.487591296296294,137.953307,572.0,0,0,0
29,439.5371738973261,1364.0,36.75900714814815,138.582063,1869.0,0.4688702343381952,36.82686111111111,138.52966666666666,1397.0,36.89471507407407,138.424874,505.0,0,0,0
30,439.3182015158613,1364.0,36.75900714814815,138.582063,1869.0,0.4688702343381952,36.82686111111111,138.47727033333334,1324.0,36.89471507407407,138.424874,505.0,0,0,0
