ランク,水源_緯度,水源_経度,水源_標高(m),取水口_緯度,取水口_経度,取水口_標高(m),発電所_緯度,発電所_経度,発電所_標高(m),有効落差(m),推定発電量(kW)
#22,36.432200,137.728751,2380.0,36.469589,137.699880,1516.0,36.880867,137.411165,0.0,2380.0,9.4
#23,36.469589,137.642137,2304.0,36.469589,137.699880,1516.0,36.880867,137.411165,0.0,2304.0,9.4
#24,36.432200,137.642137,2766.0,36.469589,137.699880,1516.0,36.806089,137.353422,0.0,2766.0,8.7
#25,36.432200,137.728751,2380.0,36.469589,137.699880,1516.0,36.843478,137.324551,0.0,2380.0,8.6
#26,36.469589,137.642137,2304.0,36.469589,137.699880,1516.0,36.843478,137.324551,0.0,2304.0,8.5
#27,36.432200,137.642137,2766.0,36.469589,137.699880,1516.0,36.843478,137.411165,8.0,2758.0,8.4
#28,36.432200,137.728751,2380.0,36.469589,137.699880,1516.0,36.880867,137.382294,0.0,2380.0,8.2
#29,36.469589,137.642137,2304.0,36.469589,137.699880,1516.0,36.880867,137.382294,0.0,2304.0,8.2
#30,36.394811,137.613265,2511.0,36.469589,137.699880,1516.0,36.731312,137.324551,3.0,2508.0,7.4
#31,36.432200,137.642137,2766.0,36.469589,137.699880,1516.0,36.806089,137.324551,0.0,2766.0,7.4
#32,36.432200,137.642137,2766.0,36.469589,137.699880,1516.0,36.843478,137.382294,0.0,2766.0,7.3
#33,36.432200,137.728751,2380.0,36.469589,137.699880,1516.0,36.918256,137.440037,3.0,2377.0,7.3
#34,36.469589,137.642137,2304.0,36.469589,137.699880,1516.0,36.918256,137.440037,3.0,2301.0,7.3
#35,36.432200,137.728751,2380.0,36.469589,137.699880,1516.0,36.880867,137.353422,0.0,2380.0,7.2
#36,36.469589,137.642137,2304.0,36.469589,137.699880,1516.0,36.880867,137.353422,0.0,2304.0,7.1
#37,36.544367,137.613265,2368.0,36.469589,137.699880,1516.0,36.731312,137.324551,3.0,2365.0,7.0
#38,36.432200,137.642137,2766.0,36.469589,137.699880,1516.0,36.880867,137.440037,13.0,2753.0,6.6
#39,36.432200,137.728751,2380.0,36.469589,137.699880,1516.0,36.918256,137.411165,0.0,2380.0,6.5
#40,36.469589,137.642137,2304.0,36.469589,137.699880,1516.0,36.918256,137.411165,0.0,2304.0,6.5
#41,36.432200,137.728751,2380.0,36.469589,137.699880,1516.0,36.955645,137.526651,7.0,2373.0,6.5
#42,36.469589,137.642137,2304.0,36.469589,137.699880,1516.0,36.955645,137.526651,7.0,2297.0,6.5
#43,36.432200,137.642137,2766.0,36.469589,137.699880,1516.0,36.843478,137.353422,0.0,2766.0,6.3
#44,36.432200,137.728751,2380.0,36.469589,137.699880,1516.0,36.880867,137.324551,0.0,2380.0,6.2
#45,36.469589,137.642137,2304.0,36.469589,137.699880,1516.0,36.880867,137.324551,0.0,2304.0,6.2
#46,36.432200,137.728751,2380.0,36.469589,137.699880,1516.0,36.955645,137.497780,2.0,2378.0,6.0
#47,36.469589,137.642137,2304.0,36.469589,137.699880,1516.0,36.955645,137.497780,2.0,2302.0,6.0
#48,36.432200,137.642137,2766.0,36.469589,137.699880,1516.0,36.880867,137.411165,0.0,2766.0,5.9
#49,36.394811,137.613265,2511.0,36.469589,137.699880,1516.0,36.806089,137.382294,0.0,2511.0,5.8
#50,36.432200,137.728751,2380.0,36.469589,137.699880,1516.0,36.918256,137.382294,0.0,2380.0,5.8
