ランク,水源_緯度,水源_経度,水源_標高(m),取水口_緯度,取水口_経度,取水口_標高(m),発電所_緯度,発電所_経度,発電所_標高(m),有効落差(m),推定発電量(kW)
#1,36.432200,137.728751,2380.0,36.469589,137.699880,1516.0,36.731312,137.324551,3.0,2377.0,21.0
#2,36.469589,137.642137,2304.0,36.469589,137.699880,1516.0,36.731312,137.324551,3.0,2301.0,20.9
#3,36.432200,137.728751,2380.0,36.469589,137.699880,1516.0,36.806089,137.382294,0.0,2380.0,16.3
#4,36.469589,137.642137,2304.0,36.469589,137.699880,1516.0,36.806089,137.382294,0.0,2304.0,16.3
#5,36.432200,137.728751,2380.0,36.469589,137.699880,1516.0,36.768701,137.324551,0.0,2380.0,15.8
#6,36.469589,137.642137,2304.0,36.469589,137.699880,1516.0,36.768701,137.324551,0.0,2304.0,15.8
#7,36.432200,137.728751,2380.0,36.469589,137.699880,1516.0,36.806089,137.353422,0.0,2380.0,13.9
#8,36.469589,137.642137,2304.0,36.469589,137.699880,1516.0,36.806089,137.353422,0.0,2304.0,13.9
#9,36.432200,137.728751,2380.0,36.469589,137.699880,1516.0,36.843478,137.411165,8.0,2372.0,13.4
#10,36.469589,137.642137,2304.0,36.469589,137.699880,1516.0,36.843478,137.411165,8.0,2296.0,13.3
#11,36.432200,137.642137,2766.0,36.469589,137.699880,1516.0,36.731312,137.324551,3.0,2763.0,13.2
#12,36.432200,137.728751,2380.0,36.469589,137.699880,1516.0,36.806089,137.324551,0.0,2380.0,11.7
#13,36.469589,137.642137,2304.0,36.469589,137.699880,1516.0,36.806089,137.324551,0.0,2304.0,11.7
#14,36.432200,137.728751,2380.0,36.469589,137.699880,1516.0,36.843478,137.382294,0.0,2380.0,11.7
#15,36.469589,137.642137,2304.0,36.469589,137.699880,1516.0,36.843478,137.382294,0.0,2304.0,11.6
#16,36.432200,137.728751,2380.0,36.469589,137.699880,1516.0,36.880867,137.440037,13.0,2367.0,10.6
#17,36.469589,137.642137,2304.0,36.469589,137.699880,1516.0,36.880867,137.440037,13.0,2291.0,10.5
#18,36.432200,137.642137,2766.0,36.469589,137.699880,1516.0,36.806089,137.382294,0.0,2766.0,10.2
#19,36.432200,137.728751,2380.0,36.469589,137.699880,1516.0,36.843478,137.353422,0.0,2380.0,10.0
#20,36.469589,137.642137,2304.0,36.469589,137.699880,1516.0,36.843478,137.353422,0.0,2304.0,10.0
#21,36.432200,137.642137,2766.0,36.469589,137.699880,1516.0,36.768701,137.324551,0.0,2766.0,9.9
