ランク,水源_緯度,水源_経度,水源_標高(m),取水口_緯度,取水口_経度,取水口_標高(m),発電所_緯度,発電所_経度,発電所_標高(m),有効落差(m),推定発電量(kW)
#1,36.394143,137.756952,1918.0,36.383955,137.752721,1472.0,36.391596,137.858504,568.0,1350.0,2058.7
#2,36.386502,137.765415,1953.0,36.383955,137.752721,1472.0,36.391596,137.858504,568.0,1385.0,2055.4
#3,36.394143,137.756952,1918.0,36.383955,137.752721,1472.0,36.394143,137.858504,570.0,1348.0,2049.6
#4,36.386502,137.765415,1953.0,36.383955,137.752721,1472.0,36.394143,137.858504,570.0,1383.0,2046.5
#5,36.391596,137.773878,2014.0,36.394143,137.803497,1243.0,36.391596,137.858504,568.0,1446.0,2039.1
#6,36.391596,137.773878,2014.0,36.394143,137.803497,1243.0,36.394143,137.858504,570.0,1444.0,2037.9
#7,36.394143,137.756952,1918.0,36.383955,137.752721,1472.0,36.381408,137.862735,560.0,1358.0,2000.3
#8,36.386502,137.765415,1953.0,36.383955,137.752721,1472.0,36.381408,137.862735,560.0,1393.0,1996.9
#9,36.394143,137.756952,1918.0,36.383955,137.752721,1472.0,36.383955,137.862735,563.0,1355.0,1996.8
#10,36.394143,137.756952,1918.0,36.383955,137.752721,1472.0,36.386502,137.862735,563.0,1355.0,1996.0
#11,36.394143,137.756952,1918.0,36.383955,137.752721,1472.0,36.378861,137.862735,562.0,1356.0,1994.9
#12,36.386502,137.765415,1953.0,36.383955,137.752721,1472.0,36.383955,137.862735,563.0,1390.0,1993.4
#13,36.386502,137.765415,1953.0,36.383955,137.752721,1472.0,36.386502,137.862735,563.0,1390.0,1992.7
#14,36.386502,137.765415,1953.0,36.383955,137.752721,1472.0,36.378861,137.862735,562.0,1391.0,1991.6
#15,36.389049,137.773878,2047.0,36.394143,137.803497,1243.0,36.391596,137.858504,568.0,1479.0,1989.1
#16,36.389049,137.773878,2047.0,36.394143,137.803497,1243.0,36.394143,137.858504,570.0,1477.0,1988.0
#17,36.394143,137.756952,1918.0,36.383955,137.752721,1472.0,36.389049,137.862735,568.0,1350.0,1986.2
#18,36.394143,137.756952,1918.0,36.383955,137.752721,1472.0,36.391596,137.862735,567.0,1351.0,1983.7
#19,36.386502,137.765415,1953.0,36.383955,137.752721,1472.0,36.389049,137.862735,568.0,1385.0,1983.1
#20,36.386502,137.765415,1953.0,36.383955,137.752721,1472.0,36.391596,137.862735,567.0,1386.0,1980.6
#21,36.391596,137.773878,2014.0,36.394143,137.803497,1243.0,36.391596,137.862735,567.0,1447.0,1964.6
#22,36.386502,137.773878,2028.0,36.394143,137.803497,1243.0,36.391596,137.858504,568.0,1460.0,1959.5
#23,36.391596,137.773878,2014.0,36.394143,137.803497,1243.0,36.389049,137.862735,568.0,1446.0,1958.8
#24,36.386502,137.773878,2028.0,36.394143,137.803497,1243.0,36.394143,137.858504,570.0,1458.0,1958.4
#25,36.391596,137.773878,2014.0,36.394143,137.803497,1243.0,36.386502,137.862735,563.0,1451.0,1958.3
#26,36.391596,137.773878,2014.0,36.394143,137.803497,1243.0,36.383955,137.862735,563.0,1451.0,1948.2
#27,36.391596,137.773878,2014.0,36.394143,137.803497,1243.0,36.381408,137.862735,560.0,1454.0,1939.4
#28,36.419613,137.756952,1999.0,36.414519,137.778109,1571.0,36.394143,137.858504,570.0,1429.0,1938.7
#29,36.394143,137.756952,1918.0,36.383955,137.752721,1472.0,36.378861,137.866966,555.0,1363.0,1930.6
#30,36.409425,137.756952,2013.0,36.414519,137.778109,1571.0,36.394143,137.858504,570.0,1443.0,1930.3
