ランク,水源_緯度,水源_経度,水源_標高(m),取水口_緯度,取水口_経度,取水口_標高(m),発電所_緯度,発電所_経度,発電所_標高(m),有効落差(m),推定発電量(kW)
#29,36.216175,137.733242,1956.0,36.256888,137.764680,1643.0,36.216175,137.890431,631.0,1325.0,432.7
#30,36.379025,137.638929,2011.0,36.379025,137.670367,1606.0,36.338313,137.890431,537.0,1474.0,431.0
#31,36.419737,138.456312,2172.0,36.419737,138.424874,1821.0,36.379025,138.204809,450.0,1722.0,422.1
#32,36.297600,137.733242,2053.0,36.256888,137.764680,1643.0,36.216175,137.890431,631.0,1422.0,421.3
#33,36.256888,137.733242,2169.0,36.256888,137.764680,1643.0,36.175463,137.953307,630.0,1539.0,419.1
#34,36.094038,137.764680,2057.0,36.134751,137.796118,1810.0,36.175463,137.921869,644.0,1413.0,416.1
#35,36.094038,137.764680,2057.0,36.134751,137.796118,1810.0,36.216175,137.890431,631.0,1426.0,411.2
#36,36.256888,137.733242,2169.0,36.256888,137.764680,1643.0,36.419737,137.858994,603.0,1566.0,396.1
#37,36.379025,137.701805,2321.0,36.379025,137.670367,1606.0,36.379025,137.890431,551.0,1770.0,374.1
#38,36.216175,137.733242,1956.0,36.256888,137.764680,1643.0,36.338313,137.890431,537.0,1419.0,368.5
#39,36.216175,137.733242,1956.0,36.256888,137.764680,1643.0,36.256888,137.921869,585.0,1371.0,368.3
#40,36.379025,137.701805,2321.0,36.379025,137.670367,1606.0,36.338313,137.890431,537.0,1784.0,358.1
#41,36.297600,137.733242,2053.0,36.256888,137.764680,1643.0,36.256888,137.921869,585.0,1468.0,357.8
#42,36.297600,137.733242,2053.0,36.256888,137.764680,1643.0,36.338313,137.890431,537.0,1516.0,357.2
#43,36.216175,137.733242,1956.0,36.256888,137.764680,1643.0,36.297600,137.921869,551.0,1405.0,351.9
#44,36.379025,137.638929,2011.0,36.379025,137.670367,1606.0,36.379025,137.921869,508.0,1503.0,348.9
#45,36.297600,137.733242,2053.0,36.256888,137.764680,1643.0,36.297600,137.921869,551.0,1502.0,341.3
#46,36.094038,137.764680,2057.0,36.134751,137.796118,1810.0,36.216175,137.921869,606.0,1451.0,339.7
#47,36.216175,137.733242,1956.0,36.256888,137.764680,1643.0,36.216175,137.921869,606.0,1350.0,337.8
#48,35.849764,137.796118,2074.0,35.890476,137.827556,1254.0,35.809052,137.953307,623.0,1451.0,331.9
#49,36.379025,137.638929,2011.0,36.379025,137.670367,1606.0,36.338313,137.921869,521.0,1490.0,330.6
#50,36.297600,137.733242,2053.0,36.256888,137.764680,1643.0,36.216175,137.921869,606.0,1447.0,328.5
