ランク,水源_緯度,水源_経度,水源_標高(m),取水口_緯度,取水口_経度,取水口_標高(m),発電所_緯度,発電所_経度,発電所_標高(m),有効落差(m),推定発電量(kW)
#1,36.419737,138.456312,2172.0,36.419737,138.424874,1821.0,36.338313,138.361998,529.0,1643.0,1051.8
#2,36.256888,137.733242,2169.0,36.256888,137.764680,1643.0,36.256888,137.890431,604.0,1565.0,940.6
#3,36.419737,138.456312,2172.0,36.419737,138.424874,1821.0,36.379025,138.299123,531.0,1641.0,904.2
#4,36.256888,137.733242,2169.0,36.256888,137.764680,1643.0,36.216175,137.890431,631.0,1538.0,847.2
#5,36.419737,138.456312,2172.0,36.419737,138.424874,1821.0,36.297600,138.424874,615.0,1557.0,745.8
#6,36.419737,138.456312,2172.0,36.419737,138.424874,1821.0,36.379025,138.267685,462.0,1710.0,722.5
#7,36.256888,137.733242,2169.0,36.256888,137.764680,1643.0,36.256888,137.921869,585.0,1584.0,717.7
#8,36.256888,137.733242,2169.0,36.256888,137.764680,1643.0,36.338313,137.890431,537.0,1632.0,714.9
#9,36.256888,137.733242,2169.0,36.256888,137.764680,1643.0,36.297600,137.921869,551.0,1618.0,683.5
#10,36.256888,137.733242,2169.0,36.256888,137.764680,1643.0,36.216175,137.921869,606.0,1563.0,659.8
#11,36.256888,137.733242,2169.0,36.256888,137.764680,1643.0,36.379025,137.858994,567.0,1602.0,603.0
#12,36.379025,137.638929,2011.0,36.379025,137.670367,1606.0,36.379025,137.858994,567.0,1444.0,589.4
#13,36.419737,138.456312,2172.0,36.419737,138.424874,1821.0,36.338313,138.267685,504.0,1668.0,580.3
#14,36.256888,137.733242,2169.0,36.256888,137.764680,1643.0,36.338313,137.921869,521.0,1648.0,573.7
#15,36.419737,138.456312,2172.0,36.419737,138.424874,1821.0,36.297600,138.330561,678.0,1494.0,561.4
#16,36.379025,137.638929,2011.0,36.379025,137.670367,1606.0,36.419737,137.858994,603.0,1408.0,541.8
#17,36.256888,137.733242,2169.0,36.256888,137.764680,1643.0,36.175463,137.921869,644.0,1525.0,530.2
#18,36.256888,137.733242,2169.0,36.256888,137.764680,1643.0,36.379025,137.890431,551.0,1618.0,515.9
#19,36.256888,137.733242,2169.0,36.256888,137.764680,1643.0,36.216175,137.953307,590.0,1579.0,508.2
#20,36.379025,137.701805,2321.0,36.379025,137.670367,1606.0,36.379025,137.858994,567.0,1754.0,491.5
#21,36.216175,137.733242,1956.0,36.256888,137.764680,1643.0,36.256888,137.890431,604.0,1352.0,481.8
#22,36.297600,137.733242,2053.0,36.256888,137.764680,1643.0,36.256888,137.890431,604.0,1449.0,468.4
#23,36.419737,138.456312,2172.0,36.419737,138.424874,1821.0,36.256888,138.424874,636.0,1536.0,468.3
#24,36.379025,137.701805,2321.0,36.379025,137.670367,1606.0,36.419737,137.858994,603.0,1718.0,453.9
#25,36.419737,138.456312,2172.0,36.419737,138.424874,1821.0,36.419737,138.204809,420.0,1752.0,452.2
#26,36.379025,137.638929,2011.0,36.379025,137.670367,1606.0,36.379025,137.890431,551.0,1460.0,449.4
#27,36.419737,138.456312,2172.0,36.419737,138.424874,1821.0,36.338313,138.236247,539.0,1633.0,445.3
#28,36.256888,137.733242,2169.0,36.256888,137.764680,1643.0,36.379025,137.921869,508.0,1661.0,436.7
