ランク,水源_緯度,水源_経度,水源_標高(m),取水口_緯度,取水口_経度,取水口_標高(m),発電所_緯度,発電所_経度,発電所_標高(m),有効落差(m),推定発電量(kW)
#1,36.501162,137.544616,1925.0,36.501162,137.576053,2003.0,36.664012,137.355989,55.0,1870.0,311.7
#2,36.501162,137.544616,1925.0,36.501162,137.576053,2003.0,36.704724,137.387427,88.0,1837.0,264.3
#3,36.501162,137.544616,1925.0,36.501162,137.576053,2003.0,36.664012,137.324551,69.0,1856.0,249.8
#4,36.501162,137.544616,1925.0,36.501162,137.576053,2003.0,36.704724,137.355989,27.0,1898.0,228.9
#5,36.501162,137.544616,1925.0,36.501162,137.576053,2003.0,36.704724,137.324551,5.0,1920.0,191.1
#6,36.501162,137.544616,1925.0,36.501162,137.576053,2003.0,36.745436,137.387427,55.0,1870.0,185.3
#7,36.501162,137.544616,1925.0,36.501162,137.576053,2003.0,36.745436,137.355989,9.0,1916.0,162.2
#8,36.501162,137.544616,1925.0,36.501162,137.576053,2003.0,36.786149,137.418864,34.0,1891.0,143.3
#9,36.501162,137.544616,1925.0,36.501162,137.576053,2003.0,36.745436,137.324551,-1.0,1926.0,137.2
#10,36.501162,137.544616,1925.0,36.501162,137.576053,2003.0,36.786149,137.387427,27.0,1898.0,127.2
#11,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.704724,137.387427,88.0,2124.0,120.8
#12,36.501162,137.544616,1925.0,36.501162,137.576053,2003.0,36.786149,137.355989,0.0,1925.0,112.1
#13,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.664012,137.355989,55.0,2157.0,104.4
#14,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.745436,137.387427,55.0,2157.0,102.1
#15,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.786149,137.418864,34.0,2178.0,101.6
#16,36.501162,137.544616,1925.0,36.501162,137.576053,2003.0,36.786149,137.324551,0.0,1925.0,95.9
#17,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.704724,137.355989,27.0,2185.0,95.2
#18,36.501162,137.544616,1925.0,36.501162,137.576053,2003.0,36.826861,137.418864,34.0,1891.0,94.5
#19,36.460450,137.544616,2804.0,36.501162,137.576053,2003.0,36.664012,137.355989,55.0,2749.0,87.4
#20,36.501162,137.544616,1925.0,36.501162,137.576053,2003.0,36.826861,137.387427,0.0,1925.0,86.1
#21,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.867573,137.513178,96.0,2116.0,83.4
#22,36.460450,137.607491,2632.0,36.501162,137.576053,2003.0,36.664012,137.355989,55.0,2577.0,81.9
#23,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.786149,137.387427,27.0,2185.0,81.5
#24,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.745436,137.355989,9.0,2203.0,81.2
#25,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.664012,137.324551,69.0,2143.0,78.5
#26,36.501162,137.544616,1925.0,36.501162,137.576053,2003.0,36.826861,137.355989,0.0,1925.0,75.8
#27,36.664012,137.733242,2273.0,36.704724,137.576053,1873.0,36.786149,137.418864,34.0,2239.0,75.6
