ランク,水源_緯度,水源_経度,水源_標高(m),取水口_緯度,取水口_経度,取水口_標高(m),発電所_緯度,発電所_経度,発電所_標高(m),有効落差(m),推定発電量(kW)
#28,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.826861,137.418864,34.0,2178.0,75.1
#29,36.460450,137.544616,2804.0,36.501162,137.576053,2003.0,36.704724,137.387427,88.0,2716.0,74.5
#30,36.582587,137.638929,2212.0,36.704724,137.576053,1873.0,36.786149,137.418864,34.0,2178.0,74.1
#31,36.460450,137.513178,2141.0,36.501162,137.576053,2003.0,36.664012,137.355989,55.0,2086.0,74.1
#32,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.704724,137.324551,5.0,2207.0,73.5
#33,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.867573,137.481740,77.0,2135.0,73.2
#34,36.501162,137.544616,1925.0,36.501162,137.576053,2003.0,36.867573,137.513178,96.0,1829.0,72.8
#35,36.664012,137.733242,2273.0,36.704724,137.576053,1873.0,36.704724,137.387427,88.0,2185.0,72.6
#36,36.582587,137.638929,2212.0,36.704724,137.576053,1873.0,36.704724,137.387427,88.0,2124.0,71.2
#37,36.460450,137.544616,2804.0,36.501162,137.576053,2003.0,36.664012,137.324551,69.0,2735.0,70.2
#38,36.501162,137.544616,1925.0,36.501162,137.576053,2003.0,36.867573,137.481740,77.0,1848.0,70.1
#39,36.460450,137.607491,2632.0,36.501162,137.576053,2003.0,36.704724,137.387427,88.0,2544.0,69.8
#40,36.664012,137.733242,2273.0,36.704724,137.576053,1873.0,36.745436,137.387427,55.0,2218.0,69.5
#41,36.582587,137.638929,2212.0,36.704724,137.576053,1873.0,36.745436,137.387427,55.0,2157.0,68.1
#42,36.501162,137.544616,1925.0,36.501162,137.576053,2003.0,36.867573,137.450302,17.0,1908.0,67.8
#43,36.501162,137.544616,1925.0,36.501162,137.576053,2003.0,36.826861,137.324551,0.0,1925.0,65.8
#44,36.460450,137.607491,2632.0,36.501162,137.576053,2003.0,36.664012,137.324551,69.0,2563.0,65.8
#45,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.786149,137.355989,0.0,2212.0,65.4
#46,36.664012,137.733242,2273.0,36.623299,137.670367,1665.0,36.704724,137.387427,88.0,2185.0,65.0
#47,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.867573,137.450302,17.0,2195.0,64.4
#48,36.460450,137.544616,2804.0,36.501162,137.576053,2003.0,36.704724,137.355989,27.0,2777.0,63.9
#49,36.582587,137.638929,2212.0,36.623299,137.670367,1665.0,36.745436,137.324551,-1.0,2213.0,63.2
#50,36.460450,137.638929,2457.0,36.501162,137.576053,2003.0,36.664012,137.355989,55.0,2402.0,63.2
