Rank,WaterSource_Lat,WaterSource_Lon,WaterSource_Elevation_m,WaterSource_Flow_m3s,Intake_Lat,Intake_Lon,Intake_Elevation_m,Powerhouse_Lat,Powerhouse_Lon,Powerhouse_Elevation_m,EffectiveHead_m,WS_Intake_Distance_km,Intake_PH_Distance_km,Total_Distance_km,EstimatedPower_kW
1,36.42920931481482,137.64301261111112,2713.0,0.4936758223218075,36.42920931481482,137.7170866851852,1841.0,36.39217227777778,137.86523483333335,570.0,2143.0,6.642413536805256,13.909043403385303,20.55145694019056,754.1977836589679
2,36.54032042592593,137.7170866851852,2455.0,0.45338318928735705,36.50328338888889,137.75412372222223,1374.0,36.39217227777778,137.86523483333335,570.0,1885.0,5.281657627753213,15.850805715326876,21.13246334308009,569.3243227216315
3,35.76254264814815,137.79116075925927,2577.0,0.6332903455023202,35.72550561111112,137.60597557407408,1391.0,35.68846857407408,137.68004964814816,567.0,2010.0,17.24747893860451,7.862748102436867,25.110227041041377,533.1357418977585
4,36.46624635185186,137.64301261111112,2548.0,0.4255214194550583,36.42920931481482,137.7170866851852,1841.0,36.39217227777778,137.86523483333335,570.0,1978.0,7.809736070960978,13.909043403385303,21.71877947434628,523.6286492582475
5,36.42920931481482,137.60597557407408,2690.0,0.4055264140328248,36.42920931481482,137.7170866851852,1841.0,36.39217227777778,137.86523483333335,570.0,2120.0,9.963619999345331,13.909043403385303,23.872663402730634,503.8063353143983
6,36.54032042592593,137.7170866851852,2455.0,0.45338318928735705,36.50328338888889,137.7170866851852,1440.0,36.39217227777778,137.86523483333335,570.0,1885.0,4.109951942038316,18.12247714002674,22.232429082065053,500.7569846063428
7,36.54032042592593,137.68004964814816,2447.0,0.4503756035290287,36.50328338888889,137.7170866851852,1440.0,36.39217227777778,137.86523483333335,570.0,1877.0,5.281657627753213,18.12247714002674,23.40413476777995,456.6316459742486
8,36.46624635185186,137.60597557407408,2564.0,0.4693900131635278,36.42920931481482,137.7170866851852,1841.0,36.39217227777778,137.86523483333335,570.0,1994.0,10.77579869371463,13.909043403385303,24.68484209709993,455.00553651195327
9,36.54032042592593,137.68004964814816,2447.0,0.4503756035290287,36.50328338888889,137.75412372222223,1374.0,36.39217227777778,137.86523483333335,570.0,1877.0,7.804390601520485,15.850805715326876,23.65519631684736,450.9353414323889
10,36.28106116666667,137.64301261111112,2407.0,0.3534508000068023,36.28106116666667,137.68004964814816,1809.0,36.318098203703705,137.90227187037038,534.0,1873.0,3.327506209530262,20.379023882615577,23.70653009214584,448.8209078334574
11,36.28106116666667,137.64301261111112,2407.0,0.3534508000068023,36.28106116666667,137.68004964814816,1809.0,36.28106116666667,137.90227187037038,573.0,1834.0,3.327506209530262,19.965032997017662,23.292539206547925,448.6672105948934
12,36.42920931481482,137.64301261111112,2713.0,0.4936758223218075,36.42920931481482,137.7170866851852,1841.0,36.318098203703705,137.90227187037038,534.0,2179.0,6.642413536805256,20.692285899479256,27.33469943628451,435.51973217077125
13,36.28106116666667,137.64301261111112,2407.0,0.3534508000068023,36.28106116666667,137.68004964814816,1809.0,36.39217227777778,137.86523483333335,570.0,1837.0,3.327506209530262,20.698564558780042,24.026070768310305,433.21723002402405
14,36.28106116666667,137.64301261111112,2407.0,0.3534508000068023,36.28106116666667,137.68004964814816,1809.0,36.24402412962963,137.90227187037038,608.0,1799.0,3.327506209530262,20.388257388225107,23.71576359775537,430.88955115039147
15,36.46624635185186,137.64301261111112,2548.0,0.4255214194550583,36.50328338888889,137.7170866851852,1440.0,36.39217227777778,137.86523483333335,570.0,1978.0,7.807064333988938,18.12247714002674,25.92954147401568,424.1207404261813
16,36.577357462962965,137.7170866851852,2430.0,0.4146224286874179,36.50328338888889,137.75412372222223,1374.0,36.39217227777778,137.86523483333335,570.0,1860.0,8.863757345392344,15.850805715326876,24.71456306071922,423.798181565132
17,36.42920931481482,137.64301261111112,2713.0,0.4936758223218075,36.42920931481482,137.7170866851852,1841.0,36.35513524074074,137.93930890740742,537.0,2176.0,6.642413536805256,21.564685761809656,28.207099298614914,416.35671650059686
18,36.54032042592593,137.7170866851852,2455.0,0.45338318928735705,36.50328338888889,137.75412372222223,1374.0,36.54032042592593,137.97634594444446,575.0,1880.0,5.281657627753213,20.32345487065926,25.60511249841247,409.69999496839927
19,36.46624635185186,137.64301261111112,2548.0,0.4255214194550583,36.50328338888889,137.75412372222223,1374.0,36.39217227777778,137.86523483333335,570.0,1978.0,10.771429610975785,15.850805715326876,26.62223532630266,409.68291696537364
20,36.39217227777778,137.60597557407408,2346.0,0.4628675547524215,36.42920931481482,137.7170866851852,1841.0,36.39217227777778,137.86523483333335,570.0,1776.0,10.780164232808257,13.909043403385303,24.689207636193558,405.1722491006304
21,36.42920931481482,137.64301261111112,2713.0,0.4936758223218075,36.50328338888889,137.7170866851852,1440.0,36.39217227777778,137.86523483333335,570.0,2143.0,10.56623275066,18.12247714002674,28.688709890686738,400.2863805481793
22,36.42920931481482,137.64301261111112,2713.0,0.4936758223218075,36.50328338888889,137.75412372222223,1374.0,36.39217227777778,137.86523483333335,570.0,2143.0,12.91297460550274,15.850805715326876,28.763780320829618,398.78671328715814
23,36.54032042592593,137.7170866851852,2455.0,0.45338318928735705,36.42920931481482,137.7170866851852,1841.0,36.39217227777778,137.86523483333335,570.0,1885.0,12.329779115659488,13.909043403385303,26.23882251904479,397.97759721598675
24,35.799579685185186,137.79116075925927,2464.0,0.4121158870187493,35.72550561111112,137.60597557407408,1391.0,35.68846857407408,137.68004964814816,567.0,1897.0,18.654967634914886,7.862748102436867,26.517715737351754,394.96490957490533
25,36.577357462962965,137.7170866851852,2430.0,0.4146224286874179,36.50328338888889,137.7170866851852,1440.0,36.39217227777778,137.86523483333335,570.0,1860.0,8.21992946803974,18.12247714002674,26.34240660806648,390.67076720496044
26,36.54032042592593,137.68004964814816,2447.0,0.4503756035290287,36.42920931481482,137.7170866851852,1841.0,36.39217227777778,137.86523483333335,570.0,1877.0,12.768638730372562,13.909043403385303,26.677682133757862,387.6875265696018
27,36.46624635185186,137.64301261111112,2548.0,0.4255214194550583,36.42920931481482,137.7170866851852,1841.0,36.318098203703705,137.90227187037038,534.0,2014.0,7.809736070960978,20.692285899479256,28.502021970440232,379.71870026287763
28,36.42920931481482,137.64301261111112,2713.0,0.4936758223218075,36.42920931481482,137.7170866851852,1841.0,36.28106116666667,137.90227187037038,573.0,2140.0,6.642413536805256,23.378104929930377,30.02051846673563,373.9749909448918
29,36.35513524074074,137.64301261111112,2180.0,0.453990247310989,36.42920931481482,137.7170866851852,1841.0,36.39217227777778,137.86523483333335,570.0,1610.0,10.570119601894207,13.909043403385303,24.47916300527951,371.1792312620154
30,36.28106116666667,137.64301261111112,2407.0,0.3534508000068023,36.28106116666667,137.68004964814816,1809.0,36.24402412962963,137.93930890740742,583.0,1824.0,3.327506209530262,23.65774172871095,26.985247938241212,370.9912639740686
