ランク,水源_緯度,水源_経度,水源_標高(m),取水口_緯度,取水口_経度,取水口_標高(m),発電所_緯度,発電所_経度,発電所_標高(m),有効落差(m),推定発電量(kW)
#1,35.768339,137.827556,1872.0,35.768339,137.858994,1648.0,35.768339,137.953307,606.0,1266.0,1355.8
#2,35.768339,137.827556,1872.0,35.768339,137.858994,1648.0,35.809052,137.953307,623.0,1249.0,1195.8
#3,35.768339,137.827556,1872.0,35.768339,137.858994,1648.0,35.727627,137.953307,642.0,1230.0,1177.2
#4,35.931189,137.890431,1920.0,35.931189,137.858994,1614.0,35.931189,137.984745,684.0,1236.0,957.6
#5,35.768339,137.827556,1872.0,35.768339,137.858994,1648.0,35.686915,137.953307,592.0,1280.0,928.2
#6,35.931189,137.890431,1920.0,35.931189,137.858994,1614.0,35.890476,137.984745,666.0,1254.0,890.7
#7,35.768339,137.827556,1872.0,35.768339,137.858994,1648.0,35.849764,137.953307,683.0,1189.0,862.8
#8,35.931189,137.890431,1920.0,35.931189,137.858994,1614.0,35.849764,137.953307,683.0,1237.0,861.4
#9,35.809052,137.858994,1908.0,35.768339,137.858994,1648.0,35.768339,137.953307,606.0,1302.0,816.8
#10,35.727627,137.858994,1932.0,35.768339,137.858994,1648.0,35.768339,137.953307,606.0,1326.0,813.6
#11,35.686915,138.299123,2148.0,35.686915,138.330561,1885.0,35.809052,138.330561,620.0,1528.0,747.3
#12,35.686915,138.299123,2148.0,35.686915,138.330561,1885.0,35.809052,138.361998,612.0,1536.0,729.3
#13,35.809052,137.858994,1908.0,35.768339,137.858994,1648.0,35.809052,137.953307,623.0,1285.0,720.7
#14,35.727627,137.858994,1932.0,35.768339,137.858994,1648.0,35.809052,137.953307,623.0,1309.0,718.0
#15,35.809052,137.858994,1908.0,35.768339,137.858994,1648.0,35.727627,137.953307,642.0,1266.0,709.8
#16,35.727627,137.858994,1932.0,35.768339,137.858994,1648.0,35.727627,137.953307,642.0,1290.0,707.3
#17,35.768339,137.827556,1872.0,35.768339,137.858994,1648.0,35.849764,137.984745,694.0,1178.0,693.0
#18,35.931189,137.890431,1920.0,35.931189,137.858994,1614.0,35.849764,137.984745,694.0,1226.0,692.4
#19,35.931189,137.890431,1920.0,35.971901,137.921869,1323.0,35.931189,137.984745,684.0,1236.0,682.0
#20,35.931189,137.890431,1920.0,35.931189,137.858994,1614.0,35.809052,137.953307,623.0,1297.0,630.7
#21,35.768339,137.827556,1872.0,35.768339,137.858994,1648.0,35.686915,137.701805,623.0,1249.0,582.1
#22,35.809052,137.858994,1908.0,35.768339,137.858994,1648.0,35.686915,137.953307,592.0,1316.0,559.1
#23,35.727627,137.858994,1932.0,35.768339,137.858994,1648.0,35.686915,137.953307,592.0,1340.0,556.8
#24,35.931189,137.890431,1920.0,35.890476,137.858994,1541.0,35.849764,137.953307,683.0,1237.0,537.3
#25,36.094038,137.764680,2057.0,36.134751,137.796118,1810.0,36.175463,137.890431,661.0,1396.0,531.5
#26,36.256888,137.733242,2169.0,36.297600,137.733242,2053.0,36.338313,137.858994,577.0,1592.0,528.4
#27,35.849764,137.827556,1659.0,35.890476,137.858994,1541.0,35.849764,137.953307,683.0,976.0,526.3
#28,35.809052,137.858994,1908.0,35.768339,137.858994,1648.0,35.849764,137.953307,683.0,1225.0,520.7
#29,35.727627,137.858994,1932.0,35.768339,137.858994,1648.0,35.849764,137.953307,683.0,1249.0,519.3
#30,35.768339,137.827556,1872.0,35.768339,137.858994,1648.0,35.890476,137.984745,666.0,1206.0,516.9
#31,35.727627,137.827556,2334.0,35.768339,137.858994,1648.0,35.768339,137.953307,606.0,1728.0,516.9
#32,35.931189,137.890431,1920.0,35.971901,137.921869,1323.0,35.890476,137.984745,666.0,1254.0,491.7
#33,36.094038,138.299123,2022.0,36.094038,138.267685,1659.0,36.053326,138.079058,755.0,1267.0,477.4
#34,35.727627,138.110496,1621.0,35.686915,138.110496,1381.0,35.686915,137.953307,592.0,1029.0,461.0
#35,35.931189,137.890431,1920.0,35.890476,137.858994,1541.0,35.890476,137.984745,666.0,1254.0,459.0
#36,35.727627,137.827556,2334.0,35.768339,137.858994,1648.0,35.809052,137.953307,623.0,1711.0,457.6
#37,35.727627,137.827556,2334.0,35.768339,137.858994,1648.0,35.727627,137.953307,642.0,1692.0,452.3
#38,35.849764,137.827556,1659.0,35.890476,137.858994,1541.0,35.890476,137.984745,666.0,993.0,451.2
#39,36.256888,137.733242,2169.0,36.297600,137.733242,2053.0,36.297600,137.890431,559.0,1610.0,439.4
#40,36.094038,137.764680,2057.0,36.134751,137.796118,1810.0,36.134751,137.921869,705.0,1352.0,434.1
#41,35.931189,137.890431,1920.0,35.931189,137.858994,1614.0,35.768339,137.953307,606.0,1314.0,429.6
#42,36.256888,137.701805,2049.0,36.297600,137.701805,1721.0,36.338313,137.858994,577.0,1472.0,428.6
#43,35.931189,137.890431,1920.0,35.890476,137.858994,1541.0,35.809052,137.953307,623.0,1297.0,426.8
#44,35.849764,137.827556,1659.0,35.890476,137.858994,1541.0,35.809052,137.953307,623.0,1036.0,423.2
#45,36.256888,137.733242,2169.0,36.297600,137.733242,2053.0,36.379025,137.858994,567.0,1602.0,422.6
#46,35.686915,138.204809,2079.0,35.686915,138.173372,1809.0,35.809052,138.330561,620.0,1459.0,419.5
#47,35.809052,137.858994,1908.0,35.768339,137.858994,1648.0,35.849764,137.984745,694.0,1214.0,418.4
#48,35.727627,137.858994,1932.0,35.768339,137.858994,1648.0,35.849764,137.984745,694.0,1238.0,417.3
#49,36.094038,137.764680,2057.0,36.134751,137.796118,1810.0,36.175463,137.921869,644.0,1413.0,416.1
#50,35.686915,138.204809,2079.0,35.686915,138.173372,1809.0,35.686915,137.953307,592.0,1487.0,415.8
