Rank,Power_kW,Effective_Head_m,Flow_m3s,WaterSource_Lat,WaterSource_Lon,WaterSource_Elevation_m,Intake_Lat,Intake_Lon,Intake_Elevation_m,Powerhouse_Lat,Powerhouse_Lon,Powerhouse_Elevation_m,WS_Intake_Distance_km,Intake_PH_Distance_km,Total_Distance_km
1,2261.353288753809,756.0,0.38153163952897373,36.062462000000004,137.71619428571427,1616.0,36.115292000000004,137.71619428571427,1393.0,36.220952,137.88221057142857,637.0,5.862051092683296,18.98857907298624,24.850630165669536
2,2126.1263980646822,584.0,0.46436573902377215,36.220952,137.71619428571427,1847.0,36.168122000000004,137.71619428571427,1221.0,36.220952,137.88221057142857,637.0,5.862154738952905,16.041295068323794,21.9034498072767
3,1888.4756390224973,427.0,0.5641147418577932,36.220952,137.71619428571427,1847.0,36.168122000000004,137.79920242857142,1064.0,36.220952,137.88221057142857,637.0,9.49233589294106,9.49233589294106,18.98467178588212
4,1852.992647792674,329.0,0.7183924104400602,36.062462000000004,137.71619428571427,1616.0,36.115292000000004,137.71619428571427,1393.0,36.168122000000004,137.79920242857142,1064.0,5.862051092683296,9.49624651444832,15.358297607131615
5,1774.3307247299938,756.0,0.2993620297365959,36.062462000000004,137.63318614285714,1476.0,36.115292000000004,137.71619428571427,1393.0,36.220952,137.88221057142857,637.0,9.50015317880519,18.98857907298624,28.488732251791433
