Rank,Power_kW,Effective_Head_m,Flow_m3s,WaterSource_Lat,WaterSource_Lon,WaterSource_Elevation_m,Intake_Lat,Intake_Lon,Intake_Elevation_m,Powerhouse_Lat,Powerhouse_Lon,Powerhouse_Elevation_m,WS_Intake_Distance_km,Intake_PH_Distance_km,Total_Distance_km
1,2695.061562551009,557.0,0.6171595195084383,36.04855936842105,137.61134189473682,1523.0,36.08748673684211,137.64192384210526,1397.0,36.184805157894736,137.79483357894736,840.0,5.1232045294159905,17.493840379588722,22.61704490900471
2,2626.6879142400994,557.0,0.6015021970468845,36.08748673684211,137.58075994736842,2077.0,36.08748673684211,137.64192384210526,1397.0,36.184805157894736,137.79483357894736,840.0,5.508664674423815,17.493840379588722,23.002505054012538
3,2556.2724048829336,557.0,0.585377295662563,36.10695042105263,137.58075994736842,2209.0,36.08748673684211,137.64192384210526,1397.0,36.184805157894736,137.79483357894736,840.0,5.916268656869601,17.493840379588722,23.410109036458323
4,2428.033795071197,735.0,0.4213580791113419,36.04855936842105,137.61134189473682,1523.0,36.08748673684211,137.64192384210526,1397.0,36.204268842105265,137.8559974736842,662.0,5.1232045294159905,23.21850809918524,28.34171262860123
5,2378.23695710573,557.0,0.5446078108639876,36.12641410526316,137.58075994736842,2194.0,36.08748673684211,137.64192384210526,1397.0,36.184805157894736,137.79483357894736,840.0,6.999128656885994,17.493840379588722,24.492969036474715
6,2371.783866934659,557.0,0.5431300761492549,36.14587778947369,137.61134189473682,1913.0,36.08748673684211,137.64192384210526,1397.0,36.184805157894736,137.79483357894736,840.0,7.03988486225937,17.493840379588722,24.533725241848092
7,2366.4346349265716,735.0,0.4106682345770115,36.08748673684211,137.58075994736842,2077.0,36.08748673684211,137.64192384210526,1397.0,36.204268842105265,137.8559974736842,662.0,5.508664674423815,23.21850809918524,28.727172773609055
8,2302.9959221371996,735.0,0.39965915627814785,36.10695042105263,137.58075994736842,2209.0,36.08748673684211,137.64192384210526,1397.0,36.204268842105265,137.8559974736842,662.0,5.916268656869601,23.21850809918524,29.13477675605484
9,2204.7820969416553,656.0,0.42869238756487504,36.04855936842105,137.61134189473682,1523.0,36.08748673684211,137.64192384210526,1397.0,36.14587778947369,137.88657942105263,741.0,5.1232045294159905,22.959659098545274,28.082863627961263
10,2151.3526042181757,557.0,0.49265210040536384,36.14587778947369,137.58075994736842,2081.0,36.08748673684211,137.64192384210526,1397.0,36.184805157894736,137.79483357894736,840.0,8.50306880109382,17.493840379588722,25.996909180682543
